http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 9; vivo X21UD A Build/PKQ1.180819.001),9,2280,1080,vivoX21UDA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo Y85 Build/OPM1.171019.011),8.1.0,2280,1080,vivoY85,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1831A Build/QP1A.190711.020),10,2340,1080,V1831A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1813BA Build/PKQ1.181030.001),9,2280,1080,V1813BA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2002A Build/QP1A.190711.020),10,2340,1080,V2002A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1932A Build/QP1A.190711.020),10,2400,1080,V1932A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9Plus L Build/N2G47H),7.1.2,1920,1080,vivoX9PlusL,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H),7.1.2,1920,1080,vivoX9,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2005A Build/QP1A.190711.020),10,2376,1080,V2005A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; G8142 Build/47.2.A.10.107),9,1920,1080,G8142,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1924A Build/QP1A.190711.020),10,2256,1080,V1924A,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9i Build/N2G47H),7.1.2,1920,1080,vivoX9i,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1838A Build/QP1A.190711.020),10,2340,1080,V1838A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1928A Build/PKQ1.190626.001),9,1544,720,V1928A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; vivo Z1 Build/PKQ1.180819.001),9,2280,1080,vivoZ1,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1922A Build/RP1A.200720.012),11,2340,1080,V1922A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2080A Build/RP1A.200720.012),11,2400,1080,V2080A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1911A Build/QP1A.190711.020),10,2340,1080,V1911A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1818CA Build/O11019),8.1.0,1520,720,V1818CA,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; V2048A Build/RP1A.200720.012),11,2404,1080,V2048A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-G9500 Build/PPR1.180610.011),9,2220,1080,SM-G9500,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2065A Build/QP1A.190711.020),10,1600,720,V2065A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; PDNM00 Build/RKQ1.200710.002),11,2400,1080,PDNM00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2034A Build/QP1A.190711.020),10,1600,720,V2034A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo Y66L Build/MMB29M),6.0.1,1280,720,vivoY66L,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; V1945A Build/PKQ1.190626.001),9,2340,1080,V1945A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V),5.1.1,1920,1080,vivoX7,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1824BA Build/RP1A.200720.012),11,2340,1080,V1824BA,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; V1818T Build/OPM1.171019.026),8.1.0,1520,720,V1818T,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9Plus Build/N2G47H),7.1.2,1920,1080,vivoX9Plus,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2061A Build/QP1A.190711.020),10,2408,1080,V2061A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; PCT-AL10 Build/HUAWEIPCT-AL10),10,2310,1080,PCT-AL10,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo Xplay6 Build/NMF26F),7.1.1,1920,1080,vivoXplay6,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1836A Build/QP1A.190711.020),10,2460,1080,V1836A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; M2007J17C Build/RKQ1.200826.002),11,2400,1080,M2007J17C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; SNE-AL00 Build/HUAWEISNE-AL00),10,2340,1080,SNE-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1938CT Build/QP1A.190711.020),10,2400,1080,V1938CT,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2001A Build/QP1A.190711.020),10,2376,1080,V2001A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2118A Build/RP1A.200720.012),11,2408,1080,V2118A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; BND-AL10 Build/HONORBND-AL10),9,2160,1080,BND-AL10,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; V1831A Build/P00610),9,2340,1080,V1831A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo Y75 Build/N6F26Q),7.1.1,1440,720,vivoY75,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; JKM-AL00 Build/HUAWEIJKM-AL00),9,2340,1080,JKM-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V1963A Build/QP1A.190711.020),10,2400,1080,V1963A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; vivo Xplay6L Build/NMF26F),7.1.1,1920,1080,vivoXplay6L,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; V2011A Build/QP1A.190711.020),10,2376,1080,V2011A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
