http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 11; M2102K1C Build/RKQ1.201112.002),11,2082,1440,M2102K1C,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 11; XQ-AT52 Build/58.1.A.5.280),11,2560,1096,XQ-AT52,462,"[arm64-v8a, armeabi-v7a, armeabi]",2.8875
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Neolix 1-C-T Build/KTU84P),4.4.4,1280,720,Neolix1-C-T,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9810 Build/QP1A.190711.020),10,1600,720,SM-G9810,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; MI CC 9 MIUI/9.7.25),9,2340,1080,MICC9,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/1.6.0 (Linux; U; Android 7.1; T8 Build/KOT49H),7.1,1280,800,T8,240,"[armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 10; Redmi K20 MIUI/V12.0.6.0.QFJCNXM),10,2340,1080,RedmiK20,461,"[arm64-v8a, armeabi-v7a, armeabi]",2.8812501
Dalvik/2.1.0 (Linux; U; Android 8.0.0; LDN-AL10 Build/HUAWEILDN-AL10),8.0.0,720,1440,LDN-AL10,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; LM-V405 Build/QKQ1.191222.002),10,2340,1080,LM-V405,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; AGS2-AL00HN Build/HUAWEIAGS2-AL00HN),9,1920,1200,AGS2-AL00HN,372,"[arm64-v8a, armeabi-v7a, armeabi]",2.325
Dalvik/2.1.0 (Linux; U; Android 8.1.0; ARS-TL00 Build/HUAWEIARS-TL00),8.1.0,2244,1080,ARS-TL00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; Redmi Note 7 Pro MIUI/V10.3.11.0.PFHCNXM),9,2260,1080,RedmiNote7Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MIX 3 MIUI/20.9.4),10,2340,1080,MIX3,421,"[arm64-v8a, armeabi-v7a, armeabi]",2.6312501
Dalvik/2.1.0 (Linux; U; Android 9; ALP-AL00 Build/HUAWEIALP-AL00),9,1920,1080,ALP-AL00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/1.6.0 (Linux; U; Android 4.4.4; R8207 Build/KTU84P),4.4.4,1280,720,R8207,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; JDN2-W09HN Build/HUAWEIJDN2-W09HN),9,1920,1200,JDN2-W09HN,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-N9508 Build/R16NW),8.0.0,2220,1080,SM-N9508,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 9; JKM-LX2 Build/HUAWEIJKM-LX2),9,2340,1080,JKM-LX2,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; Redmi 7 MIUI/V12.5.1.0.QFLCNXM),10,1520,720,Redmi7,288,"[arm64-v8a, armeabi-v7a, armeabi]",1.8000001
Dalvik/2.1.0 (Linux; U; Android 6.0.1; MIX MIUI/V8.2.2.0.MAHCNDL),6.0.1,1920,1080,MIX,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; RMX3093 Build/RP1A.200720.011),11,2400,1080,RMX3093,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; XQ-AT52 Build/58.1.A.5.330),11,2560,1096,XQ-AT52,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; RMX2052 Build/RKQ1.201217.002),11,2400,1080,RMX2052,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 8.0.0; HUAWEI NXT-AL10 Build/HUAWEINXT-AL10),8.0.0,1280,720,HUAWEINXT-AL10,293,"[arm64-v8a, armeabi-v7a, armeabi]",1.8312501
Dalvik/2.1.0 (Linux; U; Android 9; shb202066 Build/P00610),9,1600,720,shb202066,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; ivvi A12 Build/PPR1.180610.011),9,1600,720,ivviA12,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; ZTE A2122H Build/RKQ1.210303.002),11,2400,1080,ZTEA2122H,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; PCHM00 Build/PKQ1.190714.001),9,1600,720,PCHM00,272,"[arm64-v8a, armeabi-v7a, armeabi]",1.7
Dalvik/2.1.0 (Linux; U; Android 11; ASUS_I005DA Build/RKQ1.201022.002),11,2448,1080,ASUS_I005DA,356,"[arm64-v8a, armeabi-v7a, armeabi]",2.2250001
Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI CAZ-TL10 Build/HUAWEICAZ-TL10),6.0,1920,1080,HUAWEICAZ-TL10,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; SM-G965U Build/QP1A.190711.020),10,2220,1080,SM-G965U,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; PCCT00 Build/RKQ1.200928.002),11,2340,1080,PCCT00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; Redmi K30 Pro MIUI/V11.0.10.0.QJKCNXM),10,2400,1080,RedmiK30Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; Redmi 6 MIUI/V10.4.3.0.PCGCNXM),9,1440,720,Redmi6,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5 Plus MIUI/V9.6.2.0.NEGCNFD),7.1.2,2160,1080,Redmi5Plus,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; SM-G950N Build/PPR1.180610.011),9,2220,1080,SM-G950N,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 6.0; KEJIAN M40 Build/MRA58K),6.0,1520,720,KEJIANM40,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; LIO-AN00 Build/HUAWEILIO-AN00),10,1128,2400,LIO-AN00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 7.1.1; ONEPLUS A5000 Build/NMF26X),7.1.1,1104,621,ONEPLUSA5000,240,"[x86, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 11; LE2100 Build/RKQ1.201112.002),11,2400,1080,LE2100,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 10; M2004J19C MIUI/V11.20.11.11.EP.QKZQ.J19),10,2340,1080,M2004J19C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 7.0; MI MAX MIUI/V10.1.1.0.NBCCNFI),7.0,1920,1080,MIMAX,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MI 9 Transparent Edition MIUI/9.8.22),10,2340,1080,MI9TransparentEdition,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 5.1.1; M973Q Build/LMY47I),5.1.1,1600,900,M973Q,240,"[x86, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 6.0; CAM-UL00 Build/HONORCAM-UL00),6.0,1280,720,CAM-UL00,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; JER-AN20 Build/HUAWEIJER-AN20),10,1560,720,JER-AN20,272,"[arm64-v8a, armeabi-v7a, armeabi]",1.7
Dalvik/2.1.0 (Linux; U; Android 9; GM1900 Build/PKQ1.190110.001),9,2340,1080,GM1900,380,"[arm64-v8a, armeabi-v7a, armeabi]",2.375
Dalvik/2.1.0 (Linux; U; Android 9; Redmi 8A MIUI/V11.0.10.0.PCPCNXM),9,1464,720,Redmi8A,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 8.1.0; PBBT00 Build/O11019),8.1.0,2340,1080,PBBT00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; NOH-AN01 Build/HUAWEINOH-AN01),10,2772,1288,NOH-AN01,476,"[arm64-v8a, armeabi-v7a, armeabi]",2.9750001
Dalvik/2.1.0 (Linux; U; Android 7.1.1; MI 6 MIUI/V8.2.28.0.NCACNEC),7.1.1,1920,1080,MI6,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; HTC 2Q4D200 Build/PPRL.190405.003),9,2880,1440,HTC2Q4D200,544,"[arm64-v8a, armeabi-v7a, armeabi]",3.4
Dalvik/2.1.0 (Linux; U; Android 5.0.2; PLK-TL00 Build/HONORPLK-TL00),5.0.2,1920,1080,PLK-TL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-G986N Build/RP1A.200720.012),11,2400,1080,SM-G986N,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 7.1.1; Mi Note 3 MIUI/V8.5.8.0.NCHCNED),7.1.1,1920,1080,MiNote3,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 7.1.1; Lenovo TB-X704F Build/NMF26F),7.1.1,1920,1200,LenovoTB-X704F,240,"[arm64-v8a, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 9; mate40 MAX Build/PPR1.180610.011),9,1600,720,mate40MAX,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; SM-W2020 Build/RP1A.200720.012),11,2146,920,SM-W2020,460,"[arm64-v8a, armeabi-v7a, armeabi]",2.875
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-N9008 Build/KOT49H),4.4.2,1920,1080,SM-N9008,480,"[armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; DUK-TL30 Build/HUAWEIDUK-TL30),9,1280,720,DUK-TL30,272,"[arm64-v8a, armeabi-v7a, armeabi]",1.7
Dalvik/2.1.0 (Linux; U; Android 10; MI 8 MIUI/V12.0.3.0.QEACNXM),10,2158,1080,MI8,375,"[arm64-v8a, armeabi-v7a, armeabi]",2.34375
Dalvik/2.1.0 (Linux; U; Android 10; NOH-AN01 Build/HUAWEINOH-AN01),10,2376,1152,NOH-AN01,460,"[arm64-v8a, armeabi-v7a, armeabi]",2.875
Dalvik/2.1.0 (Linux; U; Android 5.0.1; HUAWEI GRA-TL00 Build/HUAWEIGRA-TL00),5.0.1,1920,1080,HUAWEIGRA-TL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.1; MP1711 Build/NMF26O),7.1.1,1920,1080,MP1711,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1.1; HUAWEI M2-801W Build/HUAWEIM2-801W),5.1.1,1920,1200,HUAWEIM2-801W,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; NOH-AN00 Build/HUAWEINOH-AN00),10,2376,1152,NOH-AN00,460,"[arm64-v8a, armeabi-v7a, armeabi]",2.875
Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 7 Pro MIUI/V12.5.1.0.QFHCNXM),10,2164,1080,RedmiNote7Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MI 9 MIUI/20.3.5),10,2340,1080,MI9,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.1.0; EML-TL00 Build/HUAWEIEML-TL00),8.1.0,1496,720,EML-TL00,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; PDKT00 Build/QP1A.190711.020),10,2400,1080,PDKT00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 9; LLD-AL00 Build/HONORLLD-AL00),9,2160,1080,LLD-AL00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 7.1.1; MI MAX 2 MIUI/V8.5.12.0.NDDCNED),7.1.1,1920,1080,MIMAX2,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 9; MI 8 MIUI/V11.0.3.0.PEACNZY),9,2248,1080,MI8,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; MIX 2S MIUI/V12.0.3.0.QDGCNXM),10,2160,1080,MIX2S,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 8.0.0; HWI-AL00 Build/HUAWEIHWI-AL00),8.0.0,1440,720,HWI-AL00,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 8.1.0; DRA-TL00 Build/HUAWEIDRA-TL00),8.1.0,1440,720,DRA-TL00,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.2; MI 5X MIUI/V9.6.2.0.NDBCNFD),7.1.2,1920,1080,MI5X,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-G975U1 Build/RP1A.200720.012),11,1520,720,SM-G975U1,280,"[arm64-v8a, armeabi-v7a, armeabi]",1.75
Dalvik/2.1.0 (Linux; U; Android 9; INE-TL00 Build/HUAWEIINE-TL00),9,2340,1080,INE-TL00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi 6 MIUI/V10.2.1.0.OCGCNXM),8.1.0,1440,720,Redmi6,320,"[armeabi-v7a, armeabi]",2
Dalvik/1.6.0 (Linux; U; Android 4.4.2; vivo X710L Build/KVT49L),4.4.2,1920,1080,vivoX710L,480,"[armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; M2004J19C MIUI/V11.0.1.0.QJCCNXM),10,2340,1080,M2004J19C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 7 MIUI/V11.0.2.0.QFGCNXM),10,2340,1080,RedmiNote7,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.1.0; SNE-AL00 Build/HUAWEISNE-AL00),8.1.0,2340,1080,SNE-AL00,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; LIO-AL00 Build/HUAWEILIO-AL00),10,1600,784,LIO-AL00,356,"[arm64-v8a, armeabi-v7a, armeabi]",2.2250001
Dalvik/2.1.0 (Linux; U; Android 9; H9 Build/PPR1.180610.011),9,640,480,H9,220,"[arm64-v8a, armeabi-v7a, armeabi]",1.375
Dalvik/2.1.0 (Linux; U; Android 10; NOP-AN00 Build/HUAWEINOP-AN00),10,2376,1152,NOP-AN00,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/1.6.0 (Linux; U; Android 4.4.2; PE-TL20 Build/HuaweiPE-TL20),4.4.2,1920,1080,PE-TL20,480,"[armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; WLZ-AN00 Build/HUAWEIWLZ-AN00),10,2400,1080,WLZ-AN00,432,"[arm64-v8a, armeabi-v7a, armeabi]",2.7
Dalvik/2.1.0 (Linux; U; Android 9; MI CC 9e MIUI/V11.0.3.0.PFMCNXM),9,1560,720,MICC9e,336,"[arm64-v8a, armeabi-v7a, armeabi]",2.1000001
Dalvik/2.1.0 (Linux; U; Android 7.0; Redmi Note 4X MIUI/V9.2.1.0.NCFCNEK),7.0,1920,1080,RedmiNote4X,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; Redmi K20 Pro MIUI/V10.3.6.0.PFKCNXM),9,2340,1080,RedmiK20Pro,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; W902 Build/QP1A.190711.020),10,1560,720,W902,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 6.0; EVA-DL00 Build/HUAWEIEVA-DL00),6.0,1920,1080,EVA-DL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 7.1.2; Mi 10 Build/NZH54D),7.1.2,2340,1080,Mi10,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 5.0.2; CHE-TL00H Build/HonorCHE-TL00H),5.0.2,1280,720,CHE-TL00H,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; PDET10 Build/RKQ1.200710.002),11,2376,1080,PDET10,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 11; SM-F7070 Build/RP1A.200720.012),11,2636,1080,SM-F7070,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G9600 Build/R16NW),8.0.0,2220,1080,SM-G9600,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; PCAT10 Build/RP1A.200720.011),11,2340,1080,PCAT10,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 8.1.0; Nokia X7 Build/OPM1.171019.026),8.1.0,2246,1080,NokiaX7,460,"[arm64-v8a, armeabi-v7a, armeabi]",2.875
Dalvik/2.1.0 (Linux; U; Android 7.1.1; A55 Build/N6F26Q),7.1.1,1512,720,A55,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; MI CC 9 MIUI/20.8.6),10,2340,1080,MICC9,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; M2006J10C Build/RP1A.200720.011),11,2400,1080,M2006J10C,452,"[arm64-v8a, armeabi-v7a, armeabi]",2.825
Dalvik/2.1.0 (Linux; U; Android 9; MI CC 9 MIUI/V11.3.1.0.PFCCNXM),9,2340,1080,MICC9,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; V2057A Build/QP1A.190711.020),10,2408,1080,V2057A,384,"[arm64-v8a, armeabi-v7a, armeabi]",2.4
Dalvik/2.1.0 (Linux; U; Android 10; MI MAX 3 MIUI/V12.0.2.0.QEDCNXM),10,2160,1080,MIMAX3,461,"[arm64-v8a, armeabi-v7a, armeabi]",2.8812501
Dalvik/2.1.0 (Linux; U; Android 10; Mi 10 MIUI/V11.0.25.0.QJBCNXM),10,2250,1080,Mi10,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; SM-G9600 Build/QP1A.190711.020),10,2960,1440,SM-G9600,600,"[arm64-v8a, armeabi-v7a, armeabi]",3.75
Dalvik/2.1.0 (Linux; U; Android 9; MI 6 MIUI/9.10.17),9,1920,1080,MI6,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-G6200 Build/PKQ1.190414.001),9,2160,1080,SM-G6200,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; OCE-AL50 Build/HUAWEIOCE-AL50),10,2376,1080,OCE-AL50,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 10; ELE-L09 Build/HUAWEIELE-L09),10,2340,1080,ELE-L09,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-A7070 Build/RP1A.200720.012),11,2400,1080,SM-A7070,450,"[arm64-v8a, armeabi-v7a, armeabi]",2.8125
Dalvik/2.1.0 (Linux; U; Android 11; SM-A326BR Build/RP1A.200720.012),11,1600,720,SM-A326BR,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 10; TEL-AN10 Build/HONORTEL-AN10),10,1600,720,TEL-AN10,272,"[arm64-v8a, armeabi-v7a, armeabi]",1.7
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Coolpad 8297 Build/KOT49H),4.4.2,1280,720,Coolpad8297,320,"[armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; MEIZU 18 Build/RKQ1.210715.001),11,2400,1080,MEIZU18,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; SM-G9550 Build/PPR1.180610.011),9,2960,1440,SM-G9550,606,"[arm64-v8a, armeabi-v7a, armeabi]",3.7875001
Dalvik/2.1.0 (Linux; U; Android 10; OXF-AN10 Build/HUAWEIOXF-AN10),10,2400,1080,OXF-AN10,477,"[arm64-v8a, armeabi-v7a, armeabi]",2.98125
Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 8 MIUI/V12.0.3.0.QCOCNXM),10,2340,1080,RedmiNote8,352,"[arm64-v8a, armeabi-v7a, armeabi]",2.2
Dalvik/2.1.0 (Linux; U; Android 11; RMX3043 Build/RP1A.200720.011),11,2400,1080,RMX3043,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 11; SM-G988U Build/RP1A.200720.012),11,3200,1440,SM-G988U,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 10; SM-A6060 Build/QP1A.190711.020),10,2340,1080,SM-A6060,410,"[arm64-v8a, armeabi-v7a, armeabi]",2.5625
Dalvik/2.1.0 (Linux; U; Android 8.1.0; JSN-AL00a Build/HONORJSN-AL00a),8.1.0,2340,1080,JSN-AL00a,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 6.0; OPPO R9m Build/MRA58K),6.0,1920,1080,OPPOR9m,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-G9980 Build/RP1A.200720.012),11,2400,1080,SM-G9980,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 8 Pro MIUI/V12.0.5.0.QGGCNXM),10,2340,1080,RedmiNote8Pro,432,"[arm64-v8a, armeabi-v7a, armeabi]",2.7
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N9002 Build/LRX21V),5.0,1920,1080,SM-N9002,480,"[armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; SM-G998N Build/RP1A.200720.012),11,3200,1440,SM-G998N,560,"[arm64-v8a, armeabi-v7a, armeabi]",3.5
Dalvik/2.1.0 (Linux; U; Android 9; PAR-AL00 Build/HUAWEIPAR-AL00),9,2340,1080,PAR-AL00,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 10; MI MAX 3 MIUI/V12.5.1.0.QEDCNXM),10,2160,1080,MIMAX3,352,"[arm64-v8a, armeabi-v7a, armeabi]",2.2
Dalvik/2.1.0 (Linux; U; Android 10; Redmi K30 5G MIUI/V11.0.9.0.QGICNXM),10,2400,1080,RedmiK305G,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 8.0.0; FRD-AL00 Build/HUAWEIFRD-AL00),8.0.0,1080,1920,FRD-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; X12 Pro Build/PPR1.180610.011),9,1600,720,X12Pro,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; M2007J17C MIUI/V99.9.99.9.QGICNXM),10,2400,1080,M2007J17C,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; RMX1971 Build/QKQ1.190918.001),10,2340,1080,RMX1971,408,"[arm64-v8a, armeabi-v7a, armeabi]",2.55
Dalvik/2.1.0 (Linux; U; Android 7.1.1; GAU0820 Build/N6F26Q),7.1.1,1520,720,GAU0820,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 9; MI 8 MIUI/V11.0.3.0.P),9,2248,1080,MI8,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 10; ANG-AN00 Build/HUAWEIANG-AN00),10,2340,1080,ANG-AN00,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 9; 20190419Q Build/PPR1.180610.011),9,1560,720,20190419Q,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.2; TAS-AL00 Build/N2G47O),7.1.2,960,540,TAS-AL00,240,"[x86, armeabi-v7a, armeabi]",1.5
Dalvik/2.1.0 (Linux; U; Android 6.0; V19 Build/MRA58K),6.0,1520,720,V19,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.1; MI 6 MIUI/7.11.13),7.1.1,1920,1080,MI6,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; YAL-L21 Build/HUAWEIYAL-L61),10,2340,1080,YAL-L21,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 9; LYA-AL10 Build/HUAWEILYA-AL10),9,1080,2340,LYA-AL10,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; MI 9 MIUI/V12.0.5.0.QFACNXM),10,2340,1080,MI9,360,"[arm64-v8a, armeabi-v7a, armeabi]",2.25
Dalvik/2.1.0 (Linux; U; Android 11; NTN-AN20 Build/HONORNTN-AN30),11,2376,1080,NTN-AN20,540,"[arm64-v8a, armeabi-v7a, armeabi]",3.375
Dalvik/2.1.0 (Linux; U; Android 10; Redmi K20 Pro MIUI/V12.0.2.0.QFKCNXM),10,2340,1080,RedmiK20Pro,432,"[arm64-v8a, armeabi-v7a, armeabi]",2.7
